Id,SalePrice
1461,127000
1462,165260
1463,189180
1464,192350
1465,189680
1466,176950
1467,176520
1468,170660
1469,183110
1470,126340
1471,193930
1472,94000
1473,97840
1474,147090
1475,114030
1476,368460
1477,253530
1478,286310
1479,278290
1480,470790
1481,338780
1482,205540
1483,181620
1484,168570
1485,176620
1486,195780
1487,348000
1488,227260
1489,201480
1490,226930
1491,190310
1492,102040
1493,174970
1494,285850
1495,291550
1496,234410
1497,180770
1498,163450
1499,159490
1500,159320
1501,173960
1502,147050
1503,293670
1504,235870
1505,226100
1506,188840
1507,248650
1508,200620
1509,166850
1510,146260
1511,148180
1512,175720
1513,141450
1514,154530
1515,193010
1516,147630
1517,160580
1518,128680
1519,218940
1520,136080
1521,139040
1522,164600
1523,116290
1524,124300
1525,126530
1526,118610
1527,101600
1528,128740
1529,150850
1530,170590
1531,101750
1532,99020
1533,149220
1534,120940
1535,161390
1536,113830
1537,65330
1538,147640
1539,196500
1540,91970
1541,147470
1542,142810
1543,211890
1544,81000
1545,105750
1546,126540
1547,138570
1548,135030
1549,113930
1550,139810
1551,113320
1552,134790
1553,151220
1554,114930
1555,177780
1556,89970
1557,122460
1558,91270
1559,82260
1560,132380
1561,133600
1562,127760
1563,118800
1564,155430
1565,145930
1566,240720
1567,71410
1568,233190
1569,149140
1570,139720
1571,117330
1572,147860
1573,234710
1574,110000
1575,224510
1576,237290
1577,191710
1578,150810
1579,150230
1580,186980
1581,151860
1582,130640
1583,311020
1584,227840
1585,143620
1586,69090
1587,102050
1588,154970
1589,99330
1590,138000
1591,100390
1592,117230
1593,123620
1594,138460
1595,120200
1596,239190
1597,178940
1598,198200
1599,159140
1600,159680
1601,62320
1602,117910
1603,70880
1604,272520
1605,225430
1606,163050
1607,157310
1608,215570
1609,195990
1610,157320
1611,139200
1612,168890
1613,158350
1614,127840
1615,90270
1616,74430
1617,90940
1618,128600
1619,135250
1620,147280
1621,136200
1622,138040
1623,263130
1624,204810
1625,122910
1626,160340
1627,189540
1628,271590
1629,175390
1630,381640
1631,204660
1632,247730
1633,170030
1634,187960
1635,179440
1636,159190
1637,197790
1638,189220
1639,180660
1640,263370
1641,178230
1642,232430
1643,223060
1644,229640
1645,192140
1646,159040
1647,158180
1648,134650
1649,137840
1650,116200
1651,124390
1652,94750
1653,95250
1654,143520
1655,142320
1656,141640
1657,142380
1658,143890
1659,122380
1660,149800
1661,478630
1662,408490
1663,392020
1664,495330
1665,318030
1666,339000
1667,390650
1668,344780
1669,294560
1670,353310
1671,285410
1672,477250
1673,290420
1674,244260
1675,197490
1676,196890
1677,223910
1678,451600
1679,429950
1680,355330
1681,241870
1682,313660
1683,181170
1684,173150
1685,174520
1686,170810
1687,165280
1688,186720
1689,187980
1690,188250
1691,175780
1692,251330
1693,169970
1694,182260
1695,164400
1696,272570
1697,168120
1698,367570
1699,330910
1700,257390
1701,267140
1702,253500
1703,250990
1704,289770
1705,223520
1706,419780
1707,219170
1708,216030
1709,262760
1710,222950
1711,251940
1712,249290
1713,287690
1714,226330
1715,202780
1716,190310
1717,170040
1718,140750
1719,206130
1720,243680
1721,163760
1722,130880
1723,157300
1724,214040
1725,240070
1726,194430
1727,169520
1728,181480
1729,166570
1730,150000
1731,121870
1732,123710
1733,114780
1734,123000
1735,135500
1736,116410
1737,353710
1738,227060
1739,272750
1740,231870
1741,196220
1742,173760
1743,172710
1744,329840
1745,248060
1746,188860
1747,221010
1748,240650
1749,159230
1750,134610
1751,244350
1752,120220
1753,143410
1754,189470
1755,174020
1756,127650
1757,121120
1758,145310
1759,162380
1760,169990
1761,137320
1762,173150
1763,175670
1764,117970
1765,164650
1766,170960
1767,212960
1768,147580
1769,167240
1770,143600
1771,129150
1772,143910
1773,138150
1774,126890
1775,137330
1776,125820
1777,110070
1778,142340
1779,112820
1780,167120
1781,133810
1782,89230
1783,142100
1784,107370
1785,120860
1786,149020
1787,160290
1788,53330
1789,94970
1790,77560
1791,172240
1792,155180
1793,131490
1794,147750
1795,135790
1796,120360
1797,116830
1798,126280
1799,110880
1800,130280
1801,130170
1802,127290
1803,148770
1804,142520
1805,137320
1806,118920
1807,126750
1808,114060
1809,120740
1810,147610
1811,104550
1812,100870
1813,125770
1814,94080
1815,52360
1816,98570
1817,115240
1818,149250
1819,125170
1820,50350
1821,109760
1822,149160
1823,39930
1824,132090
1825,130720
1826,103590
1827,105430
1828,133600
1829,114990
1830,137270
1831,147550
1832,81600
1833,140910
1834,128230
1835,122440
1836,126960
1837,89810
1838,126260
1839,92140
1840,157300
1841,149570
1842,79140
1843,127080
1844,132600
1845,138940
1846,154440
1847,175300
1848,51170
1849,102180
1850,122780
1851,156810
1852,128750
1853,133180
1854,162310
1855,150610
1856,217150
1857,153140
1858,139380
1859,116510
1860,156430
1861,116130
1862,285110
1863,278200
1864,278240
1865,311730
1866,335360
1867,233860
1868,304120
1869,206950
1870,223250
1871,246210
1872,171270
1873,239220
1874,145210
1875,195120
1876,191040
1877,211880
1878,204800
1879,132760
1880,136870
1881,238490
1882,248440
1883,195470
1884,213080
1885,237820
1886,298400
1887,205170
1888,274090
1889,164260
1890,132140
1891,139590
1892,109850
1893,136750
1894,126100
1895,141940
1896,128260
1897,121730
1898,110690
1899,155170
1900,143130
1901,172390
1902,145100
1903,199080
1904,142530
1905,189430
1906,170110
1907,205640
1908,110330
1909,135310
1910,121350
1911,210410
1912,323620
1913,151240
1914,47650
1915,338640
1916,67260
1917,236620
1918,140930
1919,165450
1920,139890
1921,469540
1922,332480
1923,226570
1924,236650
1925,211070
1926,412250
1927,137710
1928,154430
1929,123060
1930,126110
1931,142640
1932,138860
1933,174620
1934,179180
1935,175380
1936,188160
1937,183900
1938,181060
1939,245960
1940,187820
1941,172140
1942,188250
1943,200660
1944,348520
1945,384390
1946,156360
1947,323780
1948,172160
1949,249200
1950,176480
1951,259370
1952,229170
1953,167840
1954,186000
1955,140200
1956,295110
1957,158260
1958,301200
1959,136850
1960,115330
1961,116540
1962,94960
1963,100150
1964,111810
1965,144270
1966,137730
1967,289080
1968,493270
1969,405380
1970,454730
1971,441440
1972,369490
1973,266560
1974,325560
1975,495190
1976,264480
1977,353240
1978,395120
1979,325860
1980,197320
1981,348580
1982,220560
1983,206500
1984,165480
1985,218830
1986,211770
1987,180210
1988,177960
1989,194310
1990,214520
1991,238470
1992,204830
1993,170030
1994,235270
1995,181620
1996,247990
1997,309300
1998,339780
1999,263430
2000,318540
2001,268180
2002,246900
2003,255730
2004,264820
2005,213730
2006,226970
2007,248890
2008,217410
2009,192760
2010,191500
2011,146220
2012,176160
2013,183560
2014,192130
2015,199930
2016,194020
2017,197920
2018,124930
2019,130790
2020,112080
2021,108820
2022,182980
2023,142110
2024,274120
2025,343310
2026,177870
2027,156750
2028,153350
2029,167490
2030,260630
2031,216510
2032,239040
2033,252580
2034,167130
2035,205620
2036,186360
2037,193420
2038,250960
2039,211280
2040,296590
2041,292430
2042,201540
2043,170390
2044,171140
2045,216400
2046,144880
2047,145100
2048,139480
2049,135320
2050,179600
2051,106720
2052,125280
2053,148390
2054,80110
2055,158920
2056,140590
2057,121440
2058,223370
2059,133980
2060,174550
2061,166880
2062,135220
2063,112220
2064,141510
2065,116120
2066,162120
2067,104590
2068,129760
2069,83840
2070,112950
2071,95920
2072,123300
2073,137330
2074,177610
2075,149100
2076,116690
2077,154050
2078,129850
2079,128850
2080,113840
2081,127810
2082,122510
2083,143400
2084,110630
2085,123780
2086,106050
2087,122300
2088,99630
2089,78760
2090,129220
2091,117550
2092,123340
2093,124650
2094,108040
2095,149790
2096,82080
2097,99940
2098,144400
2099,53020
2100,76540
2101,119190
2102,125240
2103,105920
2104,130730
2105,124500
2106,68370
2107,200810
2108,117400
2109,115400
2110,127870
2111,133940
2112,141460
2113,126790
2114,112790
2115,168790
2116,116510
2117,149050
2118,124370
2119,108210
2120,116610
2121,84230
2122,103030
2123,86740
2124,156180
2125,124820
2126,148830
2127,140190
2128,118870
2129,95190
